id|new_address|new_zip|new_id
88801220||29410|
88802414||29036|
8880132||29302|
88801207||29849|
88801098||29138|
8880334||29840|
88801220||29410|
88802414||29036|
8880132||29302|
88801207||29849|
8880802|||8880955
88801932|||88802078
8880745|||88801163
88801752|||88801333
88801582|||8880924
88801220|||8880333
8880960|||88802013
88801932|||88802078
8880768|||88802203
8880745|||88801163
88801440|||88802442
8880189|||88801108
88801893|||88802149
88801434|||88802218
88802030|||88801168
88802100|||88801710
8880672|||88801930
8880526|x1 brams point rd hilton head island sc 29926|29926|
8880108|x1001 longtown rd columbia sc 29229|29229|
88802078|x110 winter st winnsboro sc 29180|29180|
88801163|x1139 hillsboro rd orangeburg sc 29118|29115|
8880140|x2001 spann rd batesburg sc 29006|29006|
8880203|x201 school house ln summerville sc 29486|29486|
8880990|x2345 state highway 41/51 s hemingway sc 29554|29554|
88801076|x131 cashua st darlington sc 29532|29532|
88802078|x110 winter st winnsboro sc 29180|29180|
88801163|x1139 hillsboro rd orangeburg sc 29118|291118|
88801693|x13255 ashevelle hwy inman sc 29349|29349|
88801067|x200 powe st cherawd sc 29520|29520|








