POSTCODE,ConfirmedCaseCategory,ConfirmedCaseCount
85003,101-500,379
85004,101-500,276
85006,Greater Than 1000,1116
85007,501-1000,883
85008,Greater Than 1000,3274
85009,Greater Than 1000,2989
85012,501-1000,528
85013,501-1000,689
85014,Greater Than 1000,1024
85015,Greater Than 1000,1854
85016,Greater Than 1000,1421
85017,Greater Than 1000,1915
85018,Greater Than 1000,1184
85019,Greater Than 1000,1442
85020,Greater Than 1000,1030
85021,Greater Than 1000,1592
85022,Greater Than 1000,1069
85023,501-1000,848
85024,501-1000,574
85027,501-1000,824
85028,101-500,368
85029,Greater Than 1000,1545
85031,Greater Than 1000,1966
85032,Greater Than 1000,1930
85033,Greater Than 1000,3480
85034,101-500,384
85035,Greater Than 1000,3181
85037,Greater Than 1000,2645
85040,Greater Than 1000,1559
85041,Greater Than 1000,3179
85042,Greater Than 1000,1817
85043,Greater Than 1000,1842
85044,501-1000,756
85045,11-100,96
85048,501-1000,656
85050,501-1000,573
85051,Greater Than 1000,1758
85053,501-1000,760
85054,101-500,169
85083,101-500,417
85085,101-500,474
85086,501-1000,662
85087,101-500,116
85118,101-500,122
85119,101-500,280
85120,501-1000,516
85121,0,0
85121 Tribal,Data Suppressed,Data Suppressed
85122,Greater Than 1000,1648
85123,101-500,270
85128,501-1000,507
85131,501-1000,839
85132,Greater Than 1000,1090
85135,1-10,1-10
85137,11-100,30
85138,501-1000,832
85139,101-500,328
85140,501-1000,641
85141,11-100,13
85142,Greater Than 1000,1233
85143,501-1000,636
85145,11-100,21
85147,0,0
85147 Tribal,Data Suppressed,Data Suppressed
85172,11-100,61
85173,11-100,72
85190,0,0
85191,1-10,1-10
85192,11-100,33
85193,101-500,122
85194,101-500,118
85201,Greater Than 1000,1606
85202,Greater Than 1000,1466
85203,Greater Than 1000,1043
85204,Greater Than 1000,2221
85205,501-1000,724
85206,Greater Than 1000,1337
85207,501-1000,777
85208,501-1000,724
85209,501-1000,933
85210,Greater Than 1000,1344
85212,501-1000,798
85213,501-1000,658
85215,101-500,228
85224,Greater Than 1000,1340
85225,Greater Than 1000,2262
85226,501-1000,727
85233,501-1000,797
85234,Greater Than 1000,1042
85248,501-1000,703
85249,501-1000,643
85250,101-500,317
85251,Greater Than 1000,1351
85253,101-500,417
85254,501-1000,844
85255,501-1000,787
85256,101-500,289
85257,Greater Than 1000,1034
85258,101-500,426
85259,101-500,353
85260,501-1000,783
85262,101-500,106
85263,11-100,19
85264,11-100,44
85266,101-500,151
85268,101-500,236
85281,Greater Than 1000,1761
85282,Greater Than 1000,1424
85283,Greater Than 1000,1376
85284,101-500,252
85286,501-1000,891
85287,11-100,30
85295,501-1000,870
85296,501-1000,877
85297,501-1000,570
85298,501-1000,528
85301,Greater Than 1000,2973
85302,Greater Than 1000,1504
85303,Greater Than 1000,1773
85304,501-1000,763
85305,501-1000,690
85306,501-1000,623
85307,101-500,298
85308,Greater Than 1000,1318
85309,11-100,68
85310,101-500,355
85320,11-100,68
85321,11-100,97
85322,11-100,15
85323,Greater Than 1000,2022
85324,11-100,26
85325,0,0
85326,Greater Than 1000,2070
85328,1-10,1-10
85329,101-500,133
85331,101-500,441
85332,1-10,1-10
85333,1-10,1-10
85334,11-100,11
85335,Greater Than 1000,1208
85336,101-500,419
85337,11-100,92
85338,Greater Than 1000,1735
85339,Greater Than 1000,2017
85340,501-1000,779
85341,1-10,1-10
85342,11-100,12
85343,1-10,1-10
85344,101-500,189
85344 Tribal,Data Suppressed,Data Suppressed
85345,Greater Than 1000,1987
85346,11-100,19
85347,1-10,1-10
85348,11-100,23
85349,501-1000,663
85350,Greater Than 1000,3779
85351,101-500,440
85352,11-100,19
85353,Greater Than 1000,2384
85354,101-500,151
85355,101-500,265
85356,101-500,132
85357,0,0
85360,0,0
85361,101-500,158
85362,1-10,1-10
