CountyName,PrecinctCode,PrecinctName,Description,HouseNum,PrefixDirectionDesc,Street,StreetTypeDesc,SuffixdirectionDesc,City,StateDesc,PostalCode,Line2,Comment,DayPhone,HandicapAccessible
ADAMS,01,ABBOTTSTOWN,ABBOTTSTOWN BOROUGH OFFICE,241,NULL,HIGH,ST,NULL,ABBOTTSTOWN,PA,17301,NULL,NULL,NULL,YES
ADAMS,02,ARENDTSVILLE,ARENDTSVILLE FIRE COMPANY BLDG,48,NULL,PEARL,ST,NULL,ARENDTSVILLE,PA,17303,NULL,NULL,6776200,YES
ADAMS,03,BENDERSVILLE,BENDERSVILLE COMMUNITY BLDG,144,NULL,PARK,ST,NULL,BENDERSVILLE,PA,17306,NULL,NULL,6778000,YES
ADAMS,04,BERWICK ,BERWICK TWP MUNIC BLDG,85,NULL,MUNICIPAL,RD,NULL,HANOVER,PA,17331,NULL,NULL,6321829,YES
ADAMS,05,BIGLERVILLE,TRINITY UNITED CHURCH FELLOWSHIP HALL,300,E,YORK,ST,NULL,BIGLERVILLE,PA,17307,NULL,NULL,7176777765,YES
ADAMS,06,BONNEAUVILLE,BONNEAUVILLE MUNIC BLDG,46,E,HANOVER,ST,NULL,GETTYSBURG,PA,17325,NULL,NULL,3342662,YES
ADAMS,07,BUTLER,OAKSIDE COMMUNITY PARK,2880,NULL,TABLE ROCK,RD,NULL,BIGLERVILLE,PA,17307,NULL,NULL,6777820,YES
ADAMS,08,CARROLL VALLEY #1,CARROLL VALLEY BOROUGH OFFICE,5685,NULL,FAIRFIELD,RD,NULL,FAIRFIELD,PA,17320,NULL,NULL,NULL,YES
ADAMS,09,CONEWAGO #1,SAVES STATION,5865,NULL,HANOVER,RD,NULL,HANOVER,PA,17331,NULL,NULL,7176379621,YES
ADAMS,10,CONEWAGO #2,SAVES STATION,5865,NULL,HANOVER,RD,NULL,HANOVER,PA,17331,NULL,NULL,6379621,YES
ADAMS,11,CUMBERLAND #1,GETTYSBURG SCHOOL ADMINISTRATION BLDG,900,NULL,BIGLERVILLE,RD,NULL,GETTYSBURG,PA,17325,NULL,NULL,3346254,YES
ADAMS,12,CUMBERLAND #2,BARLOW FIRE HALL,2005,NULL,TANEYTOWN,RD,NULL,GETTYSBURG,PA,17325,NULL,NULL,3341717,YES
ADAMS,13,CUMBERLAND #3,CUMBERLAND TWP MUNIC BLDG,1370,NULL,FAIRFIELD,RD,NULL,GETTYSBURG,PA,17325,NULL,NULL,3346485,YES
ADAMS,14,CUMBERLAND #4,CUMBERLAND TWP MUNIC BLDG,1370,NULL,FAIRFIELD,RD,NULL,GETTYSBURG,PA,17325,NULL,NULL,3346485,YES
ADAMS,15,EAST BERLIN,COMMUNITY CENTER,405,NULL,NORTH,AVE,NULL,EAST BERLIN,PA,17316,NULL,NULL,2598848,YES
ADAMS,16,FAIRFIELD,VILLAGE HALL,108,W,MAIN,ST,NULL,FAIRFIELD,PA,17320,NULL,NULL,6426557,YES
ADAMS,17,FRANKLIN #1,CASHTOWN FIRE CO BLDG,1111,NULL,OLD ROUTE 30,NULL,NULL,CASHTOWN,PA,17310,NULL,NULL,3343838,YES
ADAMS,18,FRANKLIN #2,CASHTOWN FIRE CO BLDG,1111,NULL,OLD ROUTE  30,NULL,NULL,CASHTOWN,PA,17310,NULL,NULL,3343838,YES
ADAMS,19,FREEDOM,FREEDOM TWP MUNIC BLDG,2184,NULL,PUMPING STATION,RD,NULL,FAIRFIELD,PA,17320,NULL,NULL,3372926,YES
ADAMS,20,GERMANY,EAGLES PARK BUILDING,427,NULL,MENGUS MILL,RD,NULL,LITTLESTOWN,PA,17340,NULL,NULL,7173594430,YES
ADAMS,21,GETTYSBURG #1,GETTYSBURG FIRE DEPARTMENT,35,N,STRATTON,ST,NULL,GETTYSBURG,PA,17325,NULL,NULL,3347548,YES
ADAMS,22,CARROLL VALLEY #2,CHILDREN'S LEARNING CENTER,123,NULL,SANDERS,RD,NULL,FAIRFIELD,PA,17320,NULL,NULL,6428282,YES
ADAMS,23,GETTYSBURG #2,GETTYSBURG COLLEGE UNION BUILDING,NULL,NULL,WEST LINCOLN,AVE,NULL,GETTYSBURG,PA,17325,NULL,NULL,3376302,YES
