id,name,address_line,directions,hours,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,photo_uri
7700237284,HAYDEN TOWN HALL,520 VELASCO AVE HAYDEN AZ 85135,,,,,,,,,
7700237283,SAN CARLOS AMDIN OFFICE,3 SAN CARLOS AVE SAN CARLOS AZ 85550,,,,,,,,,
7700237282,OLDER ADULT CENTER,SAN CARLOS AVE SAN CARLOS AZ 85550,,,,,,,,,
7700237281,SAN CARLOS APACHE HOSPITAL,103 MEDICINE WAY PERIDOT AZ 85542,,,,,,,,,
7700237280,PAYSON RECORDERS OFFICE,201 W FRONTIER ST PAYSON AZ 85541,,,,,,,,,
7700237279,GLOBE RECORDERS OFFICE,1400 E ASH ST GLOBE AZ 85501,,,,,,,,,
7700237272,VC06 DESERT MESA ELEMENTARY SCHOOL,2350 Avenue 7 1/2 E Yuma AZ 85365,,,,,,,,,
7700237271,00216 CHLORIDE TOWN HALL,4990 PAYROLL AVE CHLORIDE AZ 86431,,,,,,,,,
7700237265,Skull Valley US Post Office - Drop Box,3085 S Iron Springs Rd Skull Valley AZ 86338,,,,,,,,,
7700237264,Spring Valley Public Library - Drop Box,17320 E Mule Deer Dr Spring Valley AZ 86333,,,,,,,,,
7700237263,Chino Valley Town Hall - Drop Box,202 N State Route 89 Chino Valley AZ 86323,,,,,,,,,
7700237262,Paulden Public Library - Drop Box,16 Big Chino Rd Paulden AZ 86334,,,,,,,,,
7700237261,Jerome Town Hall - Drop Box,600 Clark St Jerome AZ 86331,,,,,,,,,
7700237260,Clarkdale Town Hall - Drop Box,39 N 9th St Clarkdale AZ 86324,,,,,,,,,
7700237259,Yavapai - Apache Nation Community Center - Drop Box,3462 Smith Ave Camp Verde AZ 86322,,,,,,,,,
7700237258,Camp Verde Town Hall - Drop Box,473 S. Main St. Camp Verde AZ 86322,,,,,,,,,
7700237257,Sedona City Hall - Drop Box,102 Roadrunner Dr. Sedona AZ 86336,,,,,,,,,
7700237256,Dewey-Humboldt Town Center - Drop Box,2735 S. Highway 69 Humboldt AZ 86329,,,,,,,,,
7700237255,Yavapai County Cottonwood Administration Annex,10 S. 6th St Cottonwood AZ 86326,,,,,,,,,
7700237254,Yavapai County Administration Building,1015 Fair St Prescott AZ 86305,,,,,,,,,
7700206371,SANTA CRUZ COUNTY COMPLEX,2150 N. CONGRESS DR. ROOM 101 NOGALES AZ 85621,,,,,,,,,
7700206369,00223 KAIBAB PAIUTE RV PARK,HC65 250 N PIPE SPRINGS RD FREDONIA PAIUTE INDIAN RESERVATION AZ 86022,,,,,,,,,
7700206368,00218 HILLTOP FOURSQUARE CHURCH,2215 EMERSON AVE KINGMAN AZ 86401,218 KINGMAN EAST HAS 1 ADDT'L LOCATION,,,,,,,,
7700206367,00209 DOLAN SPRINGS COMM COUNCIL BLDG,15195 N PIERCE FERRY RD DOLAN SPRINGS AZ 86441,,,,,,,,,
7700206366,00204 COLLEGE PARK COMMUNITY CHURCH,1990 JAGERSON AVE KINGMAN AZ 86409,204 CHLORIDE HAS 1 ADDT'L LOCATION,,,,,,,,
