id,name,address_line,directions,hours,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,photo_uri
8850015622,MESQUITE  GROVES AQUATIC CENTER,5901 S HILLCREST DR CHANDLER AZ 85249,,,,,,,,,
8850015621,BUCKEYE FIRE STATION 704,27360 W WAGNER COMPLEX DR BUCKEYE AZ 85396,,,,,,,,,
8850015619,CREIGHTON FAMILY RESOURCE CENTER,2052 N 36TH ST PHOENIX AZ 85008,,,,,,,,,
8850015617,CHRIST COMMUNITY UNITED METHODIST CHURCH,104 W WESTERN AVE AVONDALE AZ 85323,,,,,,,,,
8850015607,OUTLETS AT ANTHEM,4250 W ANTHEM WAY PHOENIX AZ 85086,,,,,,,,,
8850015605,CHURCH OF JESUS CHRIST OF LDS,11121 E RAY RD MESA AZ 85212,,,,,,,,,
8850015593,CHURCH OF JESUS CHRIST OF LDS,3440 S SIGNAL BUTTE RD MESA AZ 85212,,,,,,,,,
8850015587,EVIT - EAST CAMPUS,6625 S POWER RD MESA AZ 85212,,,,,,,,,
8850015585,CAREFREE TOWN COUNCIL CENTER,33  EASY ST CAREFREE AZ 85377,,,,,,,,,
8850015581,WORSHIP & WORD CHURCH,8175 W GRAND AVE PEORIA AZ 85345,,,,,,,,,
8850015580,CANYON RIDGE ELEMENTARY SCHOOL,17359 W SURPRISE FARMS LOOP SURPRISE AZ 85388,,,,,,,,,
8850015578,LITCHFIELD SCHOOL DISTRICT SUPPORT SERVICES BLDG A,18921 W THOMAS RD LITCHFIELD PARK AZ 85340,,,,,,,,,
8850015566,ASU SUN DEVIL FITNESS CENTER (FREE PARKING),400 E APACHE BLVD TEMPE AZ 85281,,,,,,,,,
8850015558,COPPER HILLS CHURCH/ WESTWING,27035 N BLACK ROCK BLVD PEORIA AZ 85383,,,,,,,,,
8850015523,PRAISE AND WORSHIP CENTER,2551 N ARIZONA AVE CHANDLER AZ 85225,,,,,,,,,
8850015521,EL TIANGUIS MERCADO,9201 S AVENIDA DEL YAQUI  GUADALUPE AZ 85283,,,,,,,,,
8850015511,MOUNTAIN VISTA CLUB/VISTANCIA,29701 N SUNRISE POINT  PEORIA AZ 85383,,,,,,,,,
8850015504,BUCKEYE ELEMENTARY SCHOOL DISTRICT OFFICE,25555 W DURANGO ST BUCKEYE AZ 85326,,,,,,,,,
8850015471,QUEEN CREEK UNIFIED SCHOOL DIST OFFICE*,20217 E CHANDLER HEIGHTS RD QUEEN CREEK AZ 85142,,,,,,,,,
8850015359,KNIGHTS OF PYTHIAS LODGE,1606 E APACHE BLVD TEMPE AZ 85281,,,,,,,,,
8850015277,FIRST BAPTIST CHURCH CHANDLER,3405 S ARIZONA AVE CHANDLER AZ 85248,,,,,,,,,
8850015144,GOELET A.C. BEUF COMMUNITY CENTER,3435 W PINNACLE PEAK RD PHOENIX AZ 85027,,,,,,,,,
8850015136,WEST VALLEY UNITARIAN UNIVERSALIST CHURCH,5904 W CHOLLA ST GLENDALE AZ 85304,,,,,,,,,
8850015122,FREEDOM SCHOOL #25,22150 W SUNDANCE PKWY BUCKEYE AZ 85326,,,,,,,,,
8850015071,FAITH CHURCH OF THE VALLEY,2125 E CHANDLER BLVD CHANDLER AZ 85225,,,,,,,,,
8850015056,FELLOWSHIP OF GRACE PRESBYTERIAN CHURCH,7825 W DEER VALLEY RD PEORIA AZ 85382,,,,,,,,,
8850014988,LIVING WORD BIBLE CHURCH AHWATUKEE,14647 S 50TH ST PHOENIX AZ 85044,,,,,,,,,
8850014932,WESTAR SCHOOL,17777 W WESTAR DR GOODYEAR AZ 85338,,,,,,,,,
8850014886,AVONDALE CITY HALL,11465 W CIVIC CENTER DR AVONDALE AZ 85323,,,,,,,,,
8850014820,JAMES W RICE SCHOOL,4530 W CAMPBELL AVE PHOENIX AZ 85031,,,,,,,,,
8850014752,SALVATION ARMY PHOENIX CITADEL CORP,632 N 3RD AVE PHOENIX AZ 85003,,,,,,,,,
8850014669,GILBERT FREESTONE REC CENTER,1141 E GUADALUPE RD GILBERT AZ 85234,,,,,,,,,
8850014489,AGUILA FIRE DEPARTMENT,51321 W RAY ST AGUILA AZ 85320,,,,,,,,,
8850014400,FOUNTAIN HILLS COMMUNITY CENTER,13001 N LA MONTANA DR FOUNTAIN HILLS AZ 85268,,,,,,,,,
8850014326,CHURCH OF JESUS CHRIST OF LDS,4901 W UNION HILLS DR GLENDALE AZ 85308,,,,,,,,,
8850014239,SURPRISE CITY HALL*,16000 N CIVIC CENTER PLZ SURPRISE AZ 85374,,,,,,,,,
8850014227,FLORENCE ELY  NELSON DESERT PARK REC CTR,8950 E PINNACLE PEAK RD SCOTTSDALE AZ 85255,,,,,,,,,
8850014202,MESA COMMUNITY COLLEGE AT RED MTN*,7110 E MCKELLIPS RD MESA AZ 85207,,,,,,,,,
8850014187,PHOENIX UNION HIGH SCHOOL DISTRICT OFFICE,4502 N CENTRAL AVE PHOENIX AZ 85012,,,,,,,,,
8850014178,VALLEY BAPTIST CHR/TONOPAH,37702 W INDIAN SCHOOL RD TONOPAH AZ 85354,,,,,,,,,
