id,name,address_line,directions,hours,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,photo_uri
88802791,Parker Fire Station Hdqt,107 Cedar Lane Rd Greenville SC 29601,,,,,,,,,
88802790,Take Heart Church,1330 Fork Shoals Rd Greenville SC 29605,,,,,,,,,
88802789,Slater Hall Community Center,5 Whitney St Slater SC 29683,,,,,,,,,
88802788,Cedar Grove Baptist Church,206 Moore St Simpsonville SC 29681,,,,,,,,,
88802787,Anderson Rd Library West Branch,2625 Anderson Rd Greenville SC 29611,,,,,,,,,
88802786,Flour Daniel,352 Halton Rd Greenville SC 29607,,,,,,,,,
88802773,Sand Hill Elementary School,324 Gnarly Oak Ln Summerville SC 29485,,,,,,,,,
88802763,Maryville Social Hall,2009 S Fraser St Georgetown SC 29440,,,,,,,,,
88802762,Oak Grove Baptist Church Fellowship Hall,802 Old River Rd Piedmont SC 29673,,,,,,,,,
88802761,Mary Thompson Bldg,1009 17th Ave Conway SC 29526,,,,,,,,,
88802760,St Gregory the Great Parish Life Center,32 Saint Gregory Dr Bluffton SC 29909,,,,,,,,,
88802759,HHI Fire and Rescue Station #4,400 Squire Pope Rd Hilton Head Island SC 29926,,,,,,,,,
88802758,New City Public Works,475 Fairforest Way Greenville SC 29607,,,,,,,,,
88802757,Calhoun Academy of the Arts,1520 E Calhoun St Anderson SC 29621,,,,,,,,,
88802756,Holy Trinity Lutheran Church,209 Broad St Anderson SC 29621,,,,,,,,,
88802755,Starr-Iva Middle School,1034 Rainey Rd Starr SC 29684,,,,,,,,,
88802754,La France Church of God,273 Old Anderson Rd Pendleton SC 29670,,,,,,,,,
88802753,Grace Baptist Church,6707 Highway 81 S Starr SC 29684,,,,,,,,,
88802750,Mountain Spring Bapt Church East Campus,1109 Mountain Springs Rd Anderson SC 29621,,,,,,,,,
88802749,Anderson County Library,300 N McDuffie St Anderson SC 29621,,,,,,,,,
88802748,City of Belton Comm & Recreation Center,700 Blue Ridge Ave Belton SC 29627,,,,,,,,,
88802746,Ocean View Bapt Church Student Center,7202 N Kings Hwy Myrtle Beach SC 29572,,,,,,,,,
88802745,Gen Robert H Reed Rec Center,800 Gabreski Ln Myrtle Beach SC 29577,,,,,,,,,
88802744,Seacoast Church-Conway,1500 Highway 501 Bus Conway SC 29526,,,,,,,,,
88802743,Myrtle Beach Middle School,3101 N Oak St Myrtle Beach SC 29577,,,,,,,,,
88802742,Griffin Ebenezer Baptist Church,450 Garvin St Pickens SC 29671,,,,,,,,,
88802737,Chesterfield Baptist Church,8591 Highway 90 Longs SC 29568,,,,,,,,,
88802736,Bethany Baptist Church,3160 Highway 45 Loris SC 29569,,,,,,,,,
88802734,Odyssey Educational Center,145 Hill St Harleyville SC 29448,,,,,,,,,
88802730,South Fant School of Early Education,1700 S Fant St Anderson SC 29624,,,,,,,,,
88802729,The Sandcastle,1 Shipyard Rd Kiawah Island SC 29455,,,,,,,,,
88802728,Wagener Volunteer Fire Dept,299 Park St NE Wagener SC 29164,,,,,,,,,
88802727,Fairview Presbyterian Church,1101 Carolina Ave North Augusta SC 29841,,,,,,,,,
88802726,Berea First Baptist Church,529 Farrs Bridge Rd Greenville SC 29611,,,,,,,,,
88802722,Dogwood Hill Baptist Church,1040 Mount Zion Rd Loris SC 29569,,,,,,,,,
88802721,Hilton Head Presbyterian Church,235 William Hilton Pkwy Hilton Head Island SC 29926,,,,,,,,,
88802719,Green Sea Baptist Church,1241 Green Sea Rd Green Sea SC 29545,,,,,,,,,
88802718,New Hope Baptist Church,108 New Hope Rd Pickens SC 29671,,,,,,,,,
88802715,Fire Station #2,2900 S Fraser St Georgetown SC 29440,,,,,,,,,
88802708,Friendship Baptist Church,124 Clearmont Dr North Augusta SC 29841,,,,,,,,,
88802705,New Holland Fire Department,2243 Old 96 Indian Trl Batesburg SC 29006,,,,,,,,,
88802702,City of Pickens Maintenance Building,133 Railroad St Pickens SC 29671,,,,,,,,,
88802701,Kennerly Road Baptist,1526 Kennerly Rd Irmo SC 29063,,,,,,,,,
88802691,Pilgrim Rest Baptist Church,2 Jeff Cir Greenville SC 29611,,,,,,,,,
88802690,St James Church,1872 Camp Rd Charleston SC 29412,,,,,,,,,
88802689,Connection Bldg. (Catawba Baptist Ch),2646 Catawba Church Rd Rock Hill SC 29730,,,,,,,,,
88802688,Central Office of Rock Hill Schools,386 E Black St Rock Hill SC 29730,,,,,,,,,
88802682,Carol Ray Dowling Building,509 Hubbard Dr Lancaster SC 29720,,,,,,,,,
88802680,North Springs Community Cntr,1320 Clemson Rd Columbia SC 29229,,,,,,,,,
88802679,Gadsden Community Cntr,1668 S Goodwin Cir Gadsden SC 29052,,,,,,,,,
88802678,Rock Hill Operation Center,757 Anderson Rd S Rock Hill SC 29730,,,,,,,,,
88802676,Palmetto Presbyterian Church,1720 Carolina Park Blvd Mount Pleasant SC 29466,,,,,,,,,
88802675,Fort Johnson Baptist Church,1473 Camp Rd Charleston SC 29412,,,,,,,,,
88802674,Anitoch Baptist Church,236 Rikard School Rd Prosperity SC 29127,,,,,,,,,
88802673,Aiken Technical College,2276 Jefferson Davis Hwy Graniteville SC 29829,,,,,,,,,
88802672,Socastee Middle School,151 Esso Rd Myrtle Beach SC 29588,,,,,,,,,
88802671,Socastee Elementary School,4223 Socastee Blvd Myrtle Beach SC 29588,,,,,,,,,
88802668,Royal Missionary Baptist Church,4750 Abraham Ave North Charleston SC 29405,,,,,,,,,
88802667,Forest Hills Elementary School,633 Hiers Corner Rd Walterboro SC 29488,,,,,,,,,
88802666,Azalea Drive Church of Christ,3950 Azalea Dr North Charleston SC 29405,,,,,,,,,
88802665,Meeting House at Memorial Park,407 W Hampton Ave Sumter SC 29150,,,,,,,,,
88802658,Philip Simmons Elem. School,2095 Seven Sticks Dr Wando SC 29492,,,,,,,,,
88802655,Bell Street School,600 Peachtree St Clinton SC 29325,,,,,,,,,
88802654,Fort Mill Church of the Nazarene,109 Harris St Fort Mill SC 29715,,,,,,,,,
88802653,Graniteville First Baptist Church,76 Canal St Graniteville SC 29829,,,,,,,,,
88802651,Hyatt Park Gym,950 Jackson Ave Columbia SC 29203,,,,,,,,,
88802649,Thompson Funeral Hm Community Rm TEMP,845 Leesburg Rd Columbia SC 29209,,,,,,,,,
88802648,Carver-Lyon Elementary,2100 Waverly St Columbia SC 29204,,,,,,,,,
88802647,St Mark United Methodist Church,413 Geddes Ave Charleston SC 29407,,,,,,,,,
88802645,Port Royal Beach House,45 S Port Royal Dr Hilton Head Island SC 29928,,,,,,,,,
88802644,Faith Assembly of God,2800 Faith Blvd Rock Hill SC 29730,,,,,,,,,
88802643,Ebenezer United Methodist Church,2470 Old Abbeville Hwy Abbeville SC 29620,,,,,,,,,
88802641,Cane Bay Middle School,1175 Cane Bay Blvd Summerville SC 29486,,,,,,,,,
88802640,The Burton Center,2605 Highway 72 221 E Greenwood SC 29649,,,,,,,,,
88802639,Westview Middle School,1410 W Alexander Rd Greenwood SC 29646,,,,,,,,,
88802638,Trinity Presbyterian Church FLC,500 Oak Grove Rd Spartanburg SC 29301,,,,,,,,,
88802636,Lyman Elementary School,1221 Holly Springs Rd Lyman SC 29365,,,,,,,,,
88802635,Hope Church,102 John Dodd Rd Spartanburg SC 29303,,,,,,,,,
88802634,D R Hill Middle School,1301 Holly Springs Rd Lyman SC 29365,,,,,,,,,
88802633,Anderson Mill Baptist Church Gym,4371 Anderson Mill Rd Moore SC 29369,,,,,,,,,
88802632,Fire Training Center of York County,2500 McFarland Rd York SC 29745,,,,,,,,,
88802631,Church of Christ at Clover,6278 Highway 55 E Clover SC 29710,,,,,,,,,
88802630,Newkirk Baptist Church,175 Museum Rd Rock Hill SC 29732,,,,,,,,,
88802629,Maple Park Recreation Center,915 Gregg Ave Florence SC 29501,,,,,,,,,
88802622,Fort Mill Church of God,221 Academy St Fort Mill SC 29715,,,,,,,,,
88802621,Boyd Hill Baptist Church - FLC,315 Glenn St Rock Hill SC 29732,,,,,,,,,
88802619,The Ridge at Laurens,301 Exchange Dr Laurens SC 29360,,,,,,,,,
88802618,First Baptist Church of Clover,117 S Main St Clover SC 29710,,,,,,,,,
88802616,Pickens Rural Fire Department,756 Concord Church Rd Pickens SC 29671,,,,,,,,,
88802614,Agnew Rd Baptist Church,400 Rainbow Dr Greenville SC 29617,,,,,,,,,
88802613,Unity Baptist Church of Berea,12 Piney Rd Greenville SC 29611,,,,,,,,,
88802610,White Oak Spring Missionary Baptist Chur,234 College St Central SC 29630,,,,,,,,,
88802609,River Ridge Elementary School,5960 Reidville Rd Moore SC 29369,,,,,,,,,
88802603,Clarendon School Dist.1 Resource Center,1 Larry King Hwy Summerton SC 29148,,,,,,,,,
88802602,Kershaw County CLC,1109 Campbell St Camden SC 29020,,,,,,,,,
88802598,First Church of God,709 Brushy Creek Rd Taylors SC 29687,,,,,,,,,
88802597,Lowcountry Leadership Charter School,5139 Gibson Rd Hollywood SC 29449,,,,,,,,,
88802596,Enon Baptist Church,871 Enon Church Rd Easley SC 29640,,,,,,,,,
88802593,Eastside Apostolic Lutheran Church,2200 Mays Bridge Rd Greer SC 29651,,,,,,,,,
88802586,Aiken County Career Center,2455 Jefferson Davis Hwy Warrenville SC 29851,,,,,,,,,
88802585,Langley Community Center,2710 Augusta Rd Warrenville SC 29851,,,,,,,,,
88802583,L B C Middle School,29 Lions Trl Warrenville SC 29851,,,,,,,,,
88802578,R D Schroder Middle School,7224 Highway 162 Hollywood SC 29449,,,,,,,,,
88802560,Bethune Community Center,109 College St E Bethune SC 29009,,,,,,,,,
88802556,Carver Elem. School,515 N Cashua Dr Florence SC 29501,,,,,,,,,
88802554,Surfside Presbyterian Church,8732 Highway 17 Byp S Myrtle Beach SC 29588,,,,,,,,,
88802553,Oakwood - Windsor Elementary School,3773 Charleston Hwy Aiken SC 29801,,,,,,,,,
88802552,St Mary's Smith Hall,125 Park Ave SE Aiken SC 29801,,,,,,,,,
88802551,Aiken Elementary School,2050 Pine Log Rd Aiken SC 29803,,,,,,,,,
88802549,New Beginning Ministries,317 Williston Rd Beech Island SC 29842,,,,,,,,,
88802547,True Gospel Ministries,901 Skyland Dr Columbia SC 29210,,,,,,,,,
88802546,Great Branch Community Center,2890 Neeses Hwy Orangeburg SC 29115,,,,,,,,,
88802544,Flint Hill Baptist Church,269 Flint Hill Rd Fort Mill SC 29715,,,,,,,,,
88802542,Olivet Presbyterian Church,159 Church St McConnells SC 29726,,,,,,,,,
88802540,Rock Hill Fire Station No. 5,1147 Springdale Rd Rock Hill SC 29730,,,,,,,,,
88802538,Hermon Presbyterian Church,107 Heckle Blvd Rock Hill SC 29730,,,,,,,,,
